"buildingKey","floorKey","roomKey","buildingId"
"1011G","1","001^1","VUh1aHwxMDExRw"
"1047","0","001^46","VUh1aHwxMDQ3"
"1047","0","00PC1^1","VUh1aHwxMDQ3"
"1046C","1","018^1","VUh1aHwxMDQ2Qw"
"1046C","1","017^1","VUh1aHwxMDQ2Qw"
"1046C","1","019A^1","VUh1aHwxMDQ2Qw"
"1011A","1","001^1","VUh1aHwxMDExQQ"
"1046C","1","023B^1","VUh1aHwxMDQ2Qw"
"1047","0","00S1^3","VUh1aHwxMDQ3"
"1046C","1","019^1","VUh1aHwxMDQ2Qw"
"1046C","1","020^1","VUh1aHwxMDQ2Qw"
"1046C","1","023C^1","VUh1aHwxMDQ2Qw"
"1046C","1","023A^1","VUh1aHwxMDQ2Qw"
"1046C","1","023D^1","VUh1aHwxMDQ2Qw"
"1014","1","100E1^12","VUh1aHwxMDE0"
"1007","1","100PC4^38","VUh1aHwxMDA3"
"1012B","1","100PC6^21","VUh1aHwxMDEyQg"
"1014","1","100S2^12","VUh1aHwxMDE0"
"1012B","1","101^1","VUh1aHwxMDEyQg"
"1005","1","102^1","VUh1aHwxMDA1"
"1005","1","103^1","VUh1aHwxMDA1"
"1007","1","104^1","VUh1aHwxMDA3"
"1014","1","105^1","VUh1aHwxMDE0"
"1012B","1","106^1","VUh1aHwxMDEyQg"
"1014","1","107H^1","VUh1aHwxMDE0"
"1012B","1","107^1","VUh1aHwxMDEyQg"
"1012B","1","108^1","VUh1aHwxMDEyQg"
"1014","1","108^1","VUh1aHwxMDE0"
"1007","1","109^1","VUh1aHwxMDA3"
"1012B","1","110^1","VUh1aHwxMDEyQg"
"1014","1","111^1","VUh1aHwxMDE0"
"1007","1","115^1","VUh1aHwxMDA3"
"1014","1","115^1","VUh1aHwxMDE0"
"1012B","1","116^1","VUh1aHwxMDEyQg"
"1012B","1","122^1","VUh1aHwxMDEyQg"
"1012B","1","124^1","VUh1aHwxMDEyQg"
"1012B","1","126A^1","VUh1aHwxMDEyQg"
"1012B","1","128^1","VUh1aHwxMDEyQg"
"1012B","1","131^1","VUh1aHwxMDEyQg"
"1012B","1","135^1","VUh1aHwxMDEyQg"
"1012B","1","136^1","VUh1aHwxMDEyQg"
"1001","3","139","VUh1aHwxMDAx"
"1001","3","140","VUh1aHwxMDAx"
"1001","3","145","VUh1aHwxMDAx"
"1001","3","147","VUh1aHwxMDAx"
"1001","3","149","VUh1aHwxMDAx"
"1001","3","152","VUh1aHwxMDAx"
"1012B","1","100E1^30","VUh1aHwxMDEyQg"
"1014","1","100E2^4","VUh1aHwxMDE0"
"1025B","1","100PC1^104","VUh1aHwxMDI1Qg"
"1007","1","100PC1^83","VUh1aHwxMDA3"
"1014","1","100S1^15","VUh1aHwxMDE0"
"1011H","1","100S1^46","VUh1aHwxMDExSA"
"1012B","1","100S1^58","VUh1aHwxMDEyQg"
"1025B","1","100S1^82","VUh1aHwxMDI1Qg"
"1011H","1","100S2^35","VUh1aHwxMDExSA"
"1025B","1","100S2^63","VUh1aHwxMDI1Qg"
"1014","1","100S3^13","VUh1aHwxMDE0"
"1005","1","101^1","VUh1aHwxMDA1"
"1012B","1","102^1","VUh1aHwxMDEyQg"
"1014","1","102^1","VUh1aHwxMDE0"
"1007","1","103^1","VUh1aHwxMDA3"
"1014","1","104^1","VUh1aHwxMDE0"
"1014","1","106B^20","VUh1aHwxMDE0"
"1014","1","106^1","VUh1aHwxMDE0"
"1014","1","107A^1","VUh1aHwxMDE0"
"1014","1","107C^1","VUh1aHwxMDE0"
"1014","1","107G^1","VUh1aHwxMDE0"
"1014","1","107J^1","VUh1aHwxMDE0"
"1014","1","107K^1","VUh1aHwxMDE0"
"1007","1","108^1","VUh1aHwxMDA3"
"1005","1","109^1","VUh1aHwxMDA1"
"1007","1","110^1","VUh1aHwxMDA3"
"1012B","1","111^1","VUh1aHwxMDEyQg"
"1007","1","112^1","VUh1aHwxMDA3"
"1014","1","112^1","VUh1aHwxMDE0"
"1007","1","114^1","VUh1aHwxMDA3"
"1012B","1","116A^1","VUh1aHwxMDEyQg"
"1012B","1","117^1","VUh1aHwxMDEyQg"
"1014","1","117^1","VUh1aHwxMDE0"
"1014","1","118^102","VUh1aHwxMDE0"
"1012B","1","125^1","VUh1aHwxMDEyQg"
"1012B","1","126B^1","VUh1aHwxMDEyQg"
"1012B","1","126C^1","VUh1aHwxMDEyQg"
"1012B","1","126D^1","VUh1aHwxMDEyQg"
"1012B","1","134^1","VUh1aHwxMDEyQg"
"1001","3","144","VUh1aHwxMDAx"
"1001","3","148","VUh1aHwxMDAx"
"1001","3","151","VUh1aHwxMDAx"
"1046C","1","100PC1^11","VUh1aHwxMDQ2Qw"
"1012B","1","100PC2^49","VUh1aHwxMDEyQg"
"1007","1","100PC2^57","VUh1aHwxMDA3"
"1007","1","100PC3^53","VUh1aHwxMDA3"
"1012B","1","100PC5^26","VUh1aHwxMDEyQg"
"1012B","1","100S2^44","VUh1aHwxMDEyQg"
"1007","1","102^1","VUh1aHwxMDA3"
"1014","1","103^1","VUh1aHwxMDE0"
"1012B","1","104^1","VUh1aHwxMDEyQg"
"1005","1","105^1","VUh1aHwxMDA1"
"1012B","1","105^1","VUh1aHwxMDEyQg"
"1005","1","106^1","VUh1aHwxMDA1"
"1014","1","107B^1","VUh1aHwxMDE0"
"1014","1","107F^1","VUh1aHwxMDE0"
"1005","1","107^1","VUh1aHwxMDA1"
"1014","1","110^1","VUh1aHwxMDE0"
"1007","1","111^1","VUh1aHwxMDA3"
"1012B","1","112^1","VUh1aHwxMDEyQg"
"1012B","1","113A^1","VUh1aHwxMDEyQg"
"1012B","1","113^1","VUh1aHwxMDEyQg"
"1012B","1","114^1","VUh1aHwxMDEyQg"
"1014","1","114^1","VUh1aHwxMDE0"
"1012B","1","119A^1","VUh1aHwxMDEyQg"
"1007","1","119^1","VUh1aHwxMDA3"
"1012B","1","121^1","VUh1aHwxMDEyQg"
"1012B","1","126^1","VUh1aHwxMDEyQg"
"1012B","1","129^1","VUh1aHwxMDEyQg"
"1012B","1","132^1","VUh1aHwxMDEyQg"
"1001","3","141","VUh1aHwxMDAx"
"1001","3","142","VUh1aHwxMDAx"
"1001","3","146","VUh1aHwxMDAx"
"1014","1","100E3^3","VUh1aHwxMDE0"
"1011H","1","100PC1^52","VUh1aHwxMDExSA"
"1012B","1","100PC1^66","VUh1aHwxMDEyQg"
"1046C","1","100PC2^10","VUh1aHwxMDQ2Qw"
"1012B","1","100PC3^46","VUh1aHwxMDEyQg"
"1012B","1","100PC4^33","VUh1aHwxMDEyQg"
"1007","1","101^1","VUh1aHwxMDA3"
"1014","1","101^1","VUh1aHwxMDE0"
"1012B","1","103^1","VUh1aHwxMDEyQg"
"1005","1","104^1","VUh1aHwxMDA1"
"1007","1","105^1","VUh1aHwxMDA3"
"1014","1","106A^1","VUh1aHwxMDE0"
"1007","1","106^1","VUh1aHwxMDA3"
"1014","1","107D^1","VUh1aHwxMDE0"
"1014","1","107E^1","VUh1aHwxMDE0"
"1007","1","107^1","VUh1aHwxMDA3"
"1014","1","107^1","VUh1aHwxMDE0"
"1005","1","108^1","VUh1aHwxMDA1"
"1005","1","109A^1","VUh1aHwxMDA1"
"1012B","1","109^1","VUh1aHwxMDEyQg"
"1014","1","109^1","VUh1aHwxMDE0"
"1005","1","110^1","VUh1aHwxMDA1"
"1007","1","113^1","VUh1aHwxMDA3"
"1014","1","113^1","VUh1aHwxMDE0"
"1012B","1","115^1","VUh1aHwxMDEyQg"
"1014","1","116A^1","VUh1aHwxMDE0"
"1014","1","116^1","VUh1aHwxMDE0"
"1012B","1","118^1","VUh1aHwxMDEyQg"
"1012B","1","119^1","VUh1aHwxMDEyQg"
"1014","1","119^98","VUh1aHwxMDE0"
"1012B","1","120^1","VUh1aHwxMDEyQg"
"1012B","1","123^1","VUh1aHwxMDEyQg"
"1012B","1","127^1","VUh1aHwxMDEyQg"
"1012B","1","130^1","VUh1aHwxMDEyQg"
"1012B","1","133^1","VUh1aHwxMDEyQg"
"1012B","1","137^41","VUh1aHwxMDEyQg"
"1001","3","143","VUh1aHwxMDAx"
"1001","3","150","VUh1aHwxMDAx"
"1011A","1","1^1","VUh1aHwxMDExQQ"
"1011D","1","1^1","VUh1aHwxMDExRA"
"1011H","1","1^1","VUh1aHwxMDExSA"
"1025B","1","1^1","VUh1aHwxMDI1Qg"
"1056","2","200AD^1","VUh1aHwxMDU2"
"1056","2","200D^1","VUh1aHwxMDU2"
"1056","2","200PC5^12","VUh1aHwxMDU2"
"1056","2","200PC6^7","VUh1aHwxMDU2"
"1056","2","200PC7^7","VUh1aHwxMDU2"
"1056","2","200PC8^4","VUh1aHwxMDU2"
"1056","2","200PC9^2","VUh1aHwxMDU2"
"1056","2","200S1^27","VUh1aHwxMDU2"
"1015","2","200S1^58","VUh1aHwxMDE1"
"1039","2","200S2^19","VUh1aHwxMDM5"
"1019","2","200S2^7","VUh1aHwxMDE5"
"1008A","1","1^1","VUh1aHwxMDA4QQ"
"1034C","1","1^1","VUh1aHwxMDM0Qw"
"1056","2","200AA^1","VUh1aHwxMDU2"
"1056","2","200AC^1","VUh1aHwxMDU2"
"1056","2","200AF^1","VUh1aHwxMDU2"
"1019","2","200B^71","VUh1aHwxMDE5"
"1056","2","200C^1","VUh1aHwxMDU2"
"1039","2","200E1^18","VUh1aHwxMDM5"
"1015","2","200E1^39","VUh1aHwxMDE1"
"1056","2","200E^1","VUh1aHwxMDU2"
"1039","2","200PC2^20","VUh1aHwxMDM5"
"1056","2","200PC2^24","VUh1aHwxMDU2"
"1015","2","200PC2^47","VUh1aHwxMDE1"
"1056","2","200PC3^21","VUh1aHwxMDU2"
"1039","2","200PC5^9","VUh1aHwxMDM5"
"1039","2","200PC7^5","VUh1aHwxMDM5"
"1019","2","200S1^9","VUh1aHwxMDE5"
"1039","2","200S3^16","VUh1aHwxMDM5"
"1019","2","200S3^6","VUh1aHwxMDE5"
"1019","2","200S4^5","VUh1aHwxMDE5"
"1019","2","200S6^2","VUh1aHwxMDE5"
